区分,業者管理番号,業者・工種名
,業001,
,業002,
,業003,
,業004,
,業005,
,業006,
,業007,
,業008,
,業009,
,業010,
,業011,
,業012,
,業013,
,業014,
,業015,
,業016,
,業017,
,業018,
,業019,
,業020,
,業021,
,業022,
,業023,
,業024,
,業025,
,業026,
,業027,
,業028,
,業029,
,業030,
,業031,
,業032,
,業033,
,業034,
,業035,
,業036,
,業037,
,業038,
,業039,
,業040,
,業041,
,業042,
,業043,
,業044,
,業045,
,業046,
,業047,
,業048,
,業049,
,業050,
